kernel,ms_step,pct,category
"void (anonymous namespace)::softmax_warp_forward<c10::Half, c10::Half, float, 10, false, f",39.2828,22.54,attention softmax
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align8>(c,20.2053,11.59,attention QKᵀ/AV bmm (fp16)
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(,19.4624,11.17,attention QKᵀ/AV bmm (fp16)
"void group_norm_silu_quantize_pack_nhwc_kernel<__half>(__half const*, signed char*, __half",16.7258,9.6,GroupNorm
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",13.4125,7.7,elementwise/copy
_ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGem,12.8586,7.38,conv (int GEMM)
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",7.5133,4.31,elementwise/copy
"gemm_w4a4_kernel_awq(signed char const*, signed char const*, float const*, float, __half*,",4.2611,2.44,qkv/proj int GEMM
"void group_norm_silu_nhwc_kernel<__half>(__half const*, __half*, __half const*, __half con",3.9259,2.25,GroupNorm
"void scale_bias_residual_store_half_kernel<float>(float const*, float const*, float const*",3.9178,2.25,elementwise/copy
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",3.8087,2.19,elementwise/copy
"void scale_bias_store_half_kernel<float>(float const*, float const*, float const*, __half*",3.1489,1.81,elementwise/copy
"void (anonymous namespace)::softmax_warp_forward<c10::Half, c10::Half, float, 8, false, fa",2.4118,1.38,attention softmax
"void at::native::(anonymous namespace)::upsample_nearest2d_nhwc_out_frame<float, &at::nati",2.3887,1.37,upsample/concat
void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<at::native::(anonymous ,2.3079,1.32,upsample/concat
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<c10::Half>, ",2.2294,1.28,elementwise/copy
ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32x1_nn,1.6576,0.95,other fp16 GEMM
ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn,1.6545,0.95,other fp16 GEMM
"quant_act_int4_pack_kernel(__half const*, signed char*, float, int, long)",1.4656,0.84,quantize/dequant
