Precision,Layerwise Weighted Fused (ms),Layerwise Weighted Separate (ms),Layerwise Weighted Speedup,Modelwise Fused Call (ms),Modelwise Separate Call (ms),Modelwise Speedup
INT8,16.351538,36.632455,2.240306,2701.892654,4041.656653,1.495861
INT4,12.451363,31.061007,2.494587,2493.327856,3604.525248,1.445668
