shape,grid,blocks,waves,sm_efficiency,sm_waste,dur_us,gbs,pct_peak_bw,tops,pct_peak_compute,base_gain
"768, 2x2","(4,6,1)",24,0.2857142857142857,28.57142857142857,71.42857142857143,72.672,100.10039630118891,14.38224084787197,74.79934478203434,25.016503271583392,0.22352730838292828
"384, 8x8","(64,3,1)",192,2.2857142857142856,76.19047619047619,23.809523809523814,127.2,134.08603773584906,19.265235306874864,170.93767245283018,57.16979011800341,12.393180925278088
"192, 32x32","(1024,2,1)",2048,24.38095238095238,97.52380952380952,2.4761904761904763,715.872,176.23387421214966,25.32095893852725,121.49251227035002,40.6329472476087,0.7497281205283034
"384, 16x16","(256,3,1)",768,9.142857142857142,91.42857142857143,8.571428571428575,402.976,159.4180894147542,22.904897904418707,215.82696672754705,72.18293201590203,4.3712435420043665
"768, 4x4","(16,6,1)",96,1.1428571428571428,57.14285714285714,42.85714285714286,149.728,87.97777302842486,12.640484630520815,145.21847574268003,48.56805208785285,31.06146146455719
