C,T,count,fp16_front_us,nonfused_quant_us,nonfused_front_us,fused_quant_us,fused_front_us,fused_vs_nonfused
192,1024,5,917.7,2300.7,3866.4,2436.8,3162.9,0.818
384,256,5,697.2,896.5,1908.1,1032.2,1535.8,0.805
