Precision,Weighted Fused Step1 (ms),Weighted Separate Step1 (ms),Weighted Step1 Speedup,Weighted Fused Conv (ms),Weighted Separate Conv (ms),Weighted Conv Speedup,Weighted Fused Total (ms),Weighted Separate Total (ms),Weighted Total Speedup,Benchmarked Calls,Benchmarked Shapes
INT8,8.665047,30.833834,3.558415,12.011715,14.214711,1.183404,20.355010,43.833092,2.153430,70,20
INT4,8.500957,27.736605,3.262763,8.007500,10.375233,1.295689,16.347124,38.288616,2.342223,70,20
