version,kernel,ms_step,bucket
int4_modiff,"flash_attn_int8_mma_kernel(signed char const*, signed char const*, signed char const*, flo",45.0789,attention (softmax/flash)
int4_modiff,"void group_norm_silu_nhwc_kernel<__half>(__half const*, __half*, __half const*, __half con",9.3682,GroupNorm
int4_modiff,_ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGem,7.3625,conv (GEMM)
int4_modiff,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",5.3307,elementwise / copy
int4_modiff,"faq_pertoken_kernel(__half const*, signed char*, float*, int, int, int, int, int)",4.7839,quantize / absmax
int4_modiff,"scale_accumulate_half_cache_kernel(float const*, float const*, __half*, int, int)",4.1411,other
int4_modiff,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",3.7868,elementwise / copy
int4_modiff,void static_quantize_pack_and_update_ahat_kernel_int4_half_cache_silu<__half>(__half const,3.1381,quantize / absmax
int4_modiff,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<c10::Half>, ",2.2619,elementwise / copy
int4_modiff,"gemm_w4a4_kernel_awq(signed char const*, signed char const*, float const*, float, __half*,",2.2478,qkv/proj GEMM (+ fp16 attn bmm)
int4_modiff,"faq_vquant_kernel(__half const*, float const*, signed char*, int, int, int, int)",1.8453,quantize / absmax
int4_modiff,"void group_norm_silu_nhwc_kernel<float>(float const*, float*, float const*, float const*, ",1.4298,GroupNorm
