M,K,N,count,cls,fp16_us,i8_quant_us,i8_gemm_us,i8_total_us,i4_quant_us,i4_gemm_us,i4_total_us
131072,192,576,5,large-M (qkv/proj),397.652,141.652,360.642,502.294,141.744,356.604,498.348
131072,192,192,5,large-M (qkv/proj),197.381,140.788,170.89,311.677,141.695,155.615,297.31
32768,384,1152,5,large-M (qkv/proj),402.357,71.426,233.735,305.161,55.81,157.855,213.665
32768,384,384,5,large-M (qkv/proj),133.18,73.52,87.164,160.684,55.167,65.115,120.282
8192,384,1152,5,large-M (qkv/proj),86.714,20.768,65.82,86.588,15.829,45.93,61.759
8192,384,384,5,large-M (qkv/proj),37.95,19.807,32.307,52.113,15.638,23.579,39.217
2048,768,2304,5,large-M (qkv/proj),75.406,7.838,58.562,66.4,6.664,37.68,44.344
2048,768,768,5,large-M (qkv/proj),36.61,7.406,26.666,34.071,6.07,15.785,21.855
512,768,2304,1,large-M (qkv/proj),20.228,6.292,19.88,26.172,6.124,12.431,18.555
512,768,768,1,large-M (qkv/proj),17.003,6.371,19.029,25.4,5.977,11.555,17.532
