M,K,N,count,cls,fp16_us,i8_quant_us,i8_gemm_us,i8_total_us,i4_quant_us,i4_gemm_us,i4_total_us
65536,192,576,5,large-M (qkv/proj),201.623,74.334,185.985,260.319,72.254,181.982,254.236
65536,192,192,5,large-M (qkv/proj),104.38,71.754,88.481,160.236,72.21,80.063,152.273
16384,384,1152,5,large-M (qkv/proj),202.781,36.896,117.891,154.787,29.143,83.264,112.407
16384,384,384,5,large-M (qkv/proj),64.774,38.162,52.007,90.169,28.829,37.234,66.064
4096,384,1152,5,large-M (qkv/proj),52.767,6.957,37.886,44.843,6.026,27.992,34.018
4096,384,384,5,large-M (qkv/proj),23.059,6.933,15.829,22.763,6.039,11.559,17.598
1024,768,2304,5,large-M (qkv/proj),50.681,7.732,30.473,38.205,5.166,17.275,22.441
1024,768,768,5,large-M (qkv/proj),18.682,5.554,19.516,25.07,5.241,12.487,17.728
256,768,2304,1,large-M (qkv/proj),14.436,6.203,19.008,25.212,5.281,11.545,16.826
256,768,768,1,large-M (qkv/proj),13.885,5.396,19.012,24.408,4.947,11.576,16.523
