shape,M,K,N,fp16_us,w8a8_us,awq_us,w4a4_us,w8a8_vs_fp16,awq_vs_fp16,w4a4_vs_fp16
C192 qkv,32768,192,576,108.1,268.5,113.7,142.0,0.403,0.95,0.761
C384 qkv,8192,384,1152,86.6,90.0,71.1,61.9,0.962,1.219,1.4
C768 qkv,2048,768,2304,78.2,76.5,55.3,48.4,1.022,1.413,1.617
