mode,kernel,ms_step,bucket
fp16,"void (anonymous namespace)::softmax_warp_forward<c10::Half, c10::Half, float, 10, false, f",39.4222,attention (softmax)
fp16,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align8>(c,20.1166,qkv/proj GEMM (+ fp16 attn bmm)
fp16,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(,19.4642,qkv/proj GEMM (+ fp16 attn bmm)
fp16,"void group_norm_silu_nhwc_kernel<__half>(__half const*, __half*, __half const*, __half con",15.478,GroupNorm
fp16,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816fprop_optimized_f16_128x128_32x3,13.7666,conv (GEMM)
fp16,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816fprop_optimized_f16_128x64_64x3_,10.8935,conv (GEMM)
fp16,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",8.5766,elementwise / copy
fp16,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",5.8399,elementwise / copy
fp16,_ZN7cutlass6KernelINS_4conv6kernel38ImplicitGemmConvolutionFusionPerSampleINS1_11threadblo,5.3077,conv (GEMM)
fp16,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<c10::Half>, ",4.6033,elementwise / copy
fp16,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",3.8128,elementwise / copy
fp16,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Tenso,3.6551,conv store epilogue
fp16,"void group_norm_silu_nhwc_kernel<float>(float const*, float*, float const*, float const*, ",2.897,GroupNorm
fp16,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x128x32_stage3_wa,2.7903,conv (GEMM)
fp16,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816fprop_optimized_f16_64x64_64x5_n,2.6896,conv (GEMM)
int8,"void (anonymous namespace)::softmax_warp_forward<c10::Half, c10::Half, float, 10, false, f",39.3138,attention (softmax)
int8,_ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGem,24.8764,conv (GEMM)
int8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align8>(c,20.187,qkv/proj GEMM (+ fp16 attn bmm)
int8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(,19.463,qkv/proj GEMM (+ fp16 attn bmm)
int8,"void group_norm_silu_nhwc_kernel<__half>(__half const*, __half*, __half const*, __half con",13.6542,GroupNorm
int8,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",10.5263,elementwise / copy
int8,"scale_accumulate_half_cache_kernel(float const*, float const*, __half*, int, int)",8.2335,other
int8,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",7.5256,elementwise / copy
int8,"void static_quantize_and_update_ahat_kernel_int8_half_cache_silu<__half>(__half const*, __",7.1953,quantize / absmax
int8,"gemm_w8a8_kernel_awq(signed char const*, signed char const*, float const*, float, __half*,",5.0696,qkv/proj GEMM (+ fp16 attn bmm)
int8,"void group_norm_silu_quantize_nhwc_kernel<__half>(__half const*, signed char*, __half cons",4.9285,GroupNorm
int8,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<c10::Half>, ",4.5835,elementwise / copy
int8,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:",3.808,elementwise / copy
int8,"void static_quantize_and_update_ahat_kernel_int8_half_cache<float>(float const*, __half*, ",2.9759,quantize / absmax
int8,"void group_norm_silu_nhwc_kernel<float>(float const*, float*, float const*, float const*, ",2.8283,GroupNorm
