H,K_or_Cin,M_or_B,N_or_Cout,W,backend,kernel,kind,max_abs_err_vs_fp16_backend,max_ms,mean_ms,median_ms,min_ms,padding,round_median_ms_max,round_median_ms_min,round_median_ms_stdev,rounds,shape,stride,tops
,320,5376,320,,int_gemm,,linear,4.1884765625,0.3128319978713989,0.23075103953480722,0.22995199263095856,0.2274239957332611,,0.2301120012998581,0.22991999983787537,0.00010286793664351868,3,attn_proj_320_m5376,,4.7879767746434005
,512,5376,512,,fp16,,linear,0.0,0.0639680027961731,0.04763007998466492,0.0469760000705719,0.04527999833226204,,0.0469760000705719,0.046879999339580536,5.542604788026458e-05,3,attn_proj_512,,60.00026149024327
,512,5376,512,,int_gemm,,linear,4.546875,0.4434880018234253,0.3901247996091843,0.3896639943122864,0.3866879940032959,,0.3898240029811859,0.3892480134963989,0.00029732325278910665,3,attn_proj_512,,7.233340337165272
,640,2688,640,,fp16,,linear,0.0,0.06195199862122536,0.047612159922719,0.04707200080156326,0.04540799930691719,,0.047231998294591904,0.046879999339580536,0.00017624179579394585,3,attn_proj_640_m2688,,46.77960491381686
,640,2688,640,,int_gemm,,linear,4.1845703125,0.33292800188064575,0.25156703948974607,0.2507840096950531,0.24857600033283234,,0.2508479952812195,0.2504960000514984,0.00018750304520368996,3,attn_proj_640_m2688,,8.78050240395146
,512,5376,2048,,fp16,,linear,0.0,0.18320000171661377,0.15175103962421418,0.1536960005760193,0.14262400567531586,,0.15411199629306793,0.14534400403499603,0.004946490117505475,3,ffn_512_2048,,73.35447317917453
,512,5376,2048,,int_gemm,,linear,4.38671875,1.1400959491729736,1.0970880007743835,1.096384048461914,1.0913280248641968,,1.097823977470398,1.0961600542068481,0.0009029774455247261,3,ffn_512_2048,,10.283156862612492
,640,2688,2560,,fp16,,linear,0.0,0.13516800105571747,0.10652192026376724,0.10608000308275223,0.10527999699115753,,0.10633599758148193,0.10608000308275223,0.00014779849275265897,3,ffn_640_2560,,83.03203378613135
,640,2688,2560,,int_gemm,,linear,4.53515625,0.8036479949951172,0.7164275199174881,0.7154880166053772,0.7119359970092773,,0.71561598777771,0.7152000069618225,0.00021305954367856482,3,ffn_640_2560,,12.310532385698943
,2048,2048,2048,,fp16,,linear,0.0,0.20988799631595612,0.16835104018449784,0.16793599724769592,0.16672000288963318,,0.17481599748134613,0.1671999990940094,0.0042007842111755865,3,large_2048,,102.30009923757252
,2048,2048,2048,,int_gemm,,linear,4.142578125,0.8442559838294983,0.8144166350364686,0.8139839768409729,0.8101760149002075,,0.8143680095672607,0.8138560056686401,0.0002664600495418258,3,large_2048,,21.105905856616648
,4096,1024,4096,,fp16,,linear,0.0,0.37721601128578186,0.3474339225888252,0.34697601199150085,0.3449600040912628,,0.34908801317214966,0.33395200967788696,0.008197395796129549,3,large_4096,,99.02626458465848
,4096,1024,4096,,int_gemm,,linear,4.5107421875,1.1549439430236816,1.1192496013641358,1.118399977684021,1.111807942390442,,1.1199359893798828,1.1138240098953247,0.003179494361075606,3,large_4096,,30.722227336906816
,4096,128,4096,,fp16,,linear,0.0,0.11788800358772278,0.0830665598064661,0.08265600353479385,0.08150400221347809,,0.08271999657154083,0.08262400329113007,4.88771150107799e-05,3,small_m_4096,,51.96195209452685
,4096,128,4096,,int_gemm,,linear,4.439453125,0.3380799889564514,0.22900639995932578,0.22787199914455414,0.22675199806690216,,0.22790400683879852,0.22784000635147095,3.200024395290622e-05,3,small_m_4096,,18.84815735203789
