H,K_or_Cin,M_or_B,N_or_Cout,W,backend,kernel,kind,max_abs_err_vs_fp16_backend,max_ms,mean_ms,median_ms,min_ms,padding,round_median_ms_max,round_median_ms_min,round_median_ms_stdev,rounds,shape,stride,tops
64,128,42,128,64,torch_fp16_cudnn_conv2d,3,conv,,0.6626880168914795,0.5916255992650986,0.5907520055770874,0.5888640284538269,1,0.5914559960365295,0.5852800011634827,0.00338086151597973,3,res_128_64,1,85.8808784482064
64,128,42,128,64,OptimizedInt8Conv2d benchmark_ldm baseline,3,conv,,0.7502080202102661,0.7195308810472488,0.7188159823417664,0.7124159932136536,1,0.7205439805984497,0.718720018863678,0.0010264845650843958,3,res_128_64,1,70.58037443563408
32,128,42,128,32,torch_fp16_cudnn_conv2d,3,conv,,0.20656000077724457,0.17002783954143524,0.16963200271129608,0.16761599481105804,1,0.17001600563526154,0.16937600076198578,0.0003221287220665601,3,res_128_32,1,74.7711227437827
32,128,42,128,32,OptimizedInt8Conv2d benchmark_ldm baseline,3,conv,,0.21673600375652313,0.19281119987368583,0.19247999787330627,0.1907840073108673,1,0.19254399836063385,0.19247999787330627,3.6950698586843053e-05,3,res_128_32,1,65.89554985525588
32,128,42,256,32,torch_fp16_cudnn_conv2d,3,conv,,0.35888001322746277,0.3191372799873352,0.31865599751472473,0.3144640028476715,1,0.3198080062866211,0.3178560137748718,0.0009812723849234744,3,down_128_256_32,1,79.60669433446898
32,128,42,256,32,OptimizedInt8Conv2d benchmark_ldm baseline,3,conv,,0.3261440098285675,0.3023507219552994,0.302047997713089,0.29865598678588867,1,0.30342400074005127,0.3015359938144684,0.0009763966469849738,3,down_128_256_32,1,83.98383960186317
32,256,42,256,32,torch_fp16_cudnn_conv2d,3,conv,,0.5431039929389954,0.5072947210073471,0.5070080161094666,0.5047039985656738,1,0.5070400238037109,0.4992640018463135,0.004480277128376781,3,res_256_32,1,100.06607306391406
32,256,42,256,32,OptimizedInt8Conv2d benchmark_ldm baseline,3,conv,,0.4899519979953766,0.4599177598953247,0.45958399772644043,0.4551680088043213,1,0.46694400906562805,0.458624005317688,0.004551809433320069,3,res_256_32,1,110.39179221857661
16,256,42,256,16,torch_fp16_cudnn_conv2d,3,conv,,0.16883200407028198,0.13363679990172386,0.133215993642807,0.13257600367069244,1,0.13577599823474884,0.13318400084972382,0.0014873408874873026,3,res_256_16,1,95.210604591582
16,256,42,256,16,OptimizedInt8Conv2d benchmark_ldm baseline,3,conv,,0.1478080004453659,0.12610879987478257,0.1255359947681427,0.12438400089740753,1,0.12707200646400452,0.12495999783277512,0.0010917634708553427,3,res_256_16,1,101.03536694336783
16,256,42,512,16,torch_fp16_cudnn_conv2d,3,conv,,0.2837119996547699,0.24886912018060683,0.2487040013074875,0.24611200392246246,1,0.2502399981021881,0.24607999622821808,0.0021035804556674485,3,down_256_512_16,1,101.99735612873027
